Hello World - WLC client scan
timestamp,ip,ltap_p,lt_open,total
13-11-15 10:08,192.168.193.90,53,534,587
13-11-15 10:08,192.168.193.91,147,1436,1583
13-11-15 10:08,192.168.193.92,184,1441,1625
13-11-15 10:08,192.168.193.93,344,1690,2034
13-11-15 10:08,All,728,5101,5829
